timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-16T14:28:03,codecarbon,6c58bb12-3683-42af-a3ff-e97580cc51db,385343b7-4004-45a5-85f5-13c34a494fbd,14.140006903000083,1.314623679120169e-05,9.297192626131216e-07,21.70607142857143,3.459693891858613,10.0,8.221450111545337e-05,1.3585844201999958e-05,3.787026101111148e-05,0.0001336706063285,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:28:21,codecarbon,db2c2be1-1711-4ff7-be4a-8d362ae33046,385343b7-4004-45a5-85f5-13c34a494fbd,13.875808636999864,1.414916961597905e-05,1.0197005440281346e-06,25.151538461538458,3.4547147176643604,10.0,9.341797251053168e-05,1.3312788428000105e-05,3.7137641225000256e-05,0.0001438684021635,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:28:40,codecarbon,08153ac9-eeaf-4a7e-88c8-21dbbd2a312a,385343b7-4004-45a5-85f5-13c34a494fbd,13.659672103000048,1.2879850767879448e-05,9.4291068414817e-07,22.29230769230769,3.4270362788159057,10.0,8.143574138754064e-05,1.2999177065999968e-05,3.6527081463889824e-05,0.0001309619999174,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:28:58,codecarbon,d7f9e3b6-f94d-4b92-a965-d90845b09369,385343b7-4004-45a5-85f5-13c34a494fbd,13.175473324999984,1.2377699080548972e-05,9.394500505012398e-07,22.23346153846154,3.389634149840903,10.0,7.825696453061844e-05,1.2402509921999923e-05,3.519665968888906e-05,0.0001258561341415,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:29:16,codecarbon,ed1b70da-e3dd-4562-887b-9d645e272607,385343b7-4004-45a5-85f5-13c34a494fbd,13.202091140999984,1.3497721876349197e-05,1.0223927203798123e-06,25.380000000000003,3.402147432695931,10.0,8.950818003749851e-05,1.2472509977999853e-05,3.526380785277752e-05,0.0001372444978682,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:29:35,codecarbon,9e7682fd-426b-4ca3-b8fb-91c46261353b,385343b7-4004-45a5-85f5-13c34a494fbd,13.995134347999738,1.1837474929945035e-05,8.458278881500636e-07,18.578076923076924,3.416671661729903,10.0,6.961518808399523e-05,1.3279177289999677e-05,3.746878313888829e-05,0.0001203631485128,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:29:53,codecarbon,387557b4-04f4-4ddb-9d62-284c70491c19,385343b7-4004-45a5-85f5-13c34a494fbd,13.932311759000186,1.139175581575084e-05,8.176500793841221e-07,17.505000000000003,3.4232234702582085,10.0,6.529015211686436e-05,1.3245010596000476e-05,3.729592501388955e-05,0.0001158310877267,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:30:12,codecarbon,cb02121d-a9ad-464a-a57c-70f5180ceb76,385343b7-4004-45a5-85f5-13c34a494fbd,13.714186527000038,1.1179903305791462e-05,8.152071786234522e-07,17.46,3.3929279732013664,10.0,6.406595628655018e-05,1.2922232560000184e-05,3.668878786666659e-05,0.0001136769767132,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:30:31,codecarbon,42d052e5-247f-43f2-8814-d2365a5193d9,385343b7-4004-45a5-85f5-13c34a494fbd,13.520906127999751,1.1678245631887948e-05,8.637176770056903e-07,19.381153846153847,3.3396900885576226,10.0,7.006186740388633e-05,1.253973225400027e-05,3.614250934166548e-05,0.0001187441089995,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
2025-05-16T14:30:49,codecarbon,9b9ac01b-28eb-4d9b-8d71-1fbbe9b4cea3,385343b7-4004-45a5-85f5-13c34a494fbd,13.825569181999981,1.2486711728111082e-05,9.031607714471526e-07,20.817692307692305,3.370483164722155,10.0,7.702624327750524e-05,1.2940843685999882e-05,3.6997485047222905e-05,0.00012696457201072804,Brazil,BRA,minas gerais,,,Linux-6.11.0-25-generic-x86_64-with-glibc2.39,3.11.8,3.0.1,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650,-45.0436,-21.267,7.593631744384766,machine,N,1.0
