Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Label
67.0,8.0,-1.0,-1.0,1500.0,-1.0,-1.0,17.0,1.0,27.0,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.25,1.0,1.0,-1.0,-0.5,0.0,1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,1
58.0,3.0,-1.0,1.0,700.0,-1.0,1.0,15.0,1.0,32.7,-0.5,-1.0,1.0,0.5,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,1.0,1.0,1.0,0.5,-1.0,0.0,1.0,0.0,1.0,-0.5,-1.0,-1.0,1
62.0,0.0,-1.0,1.0,500.0,1.0,1.0,20.0,1.0,36.0,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-0.5,-1.0,1.0,-1.0,-1.0,-0.5,-0.5,1.0,-1.0,1
73.0,0.0,1.0,-1.0,800.0,-1.0,1.0,30.0,1.0,26.2,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5,1.0,-1.0,-1.0,1
34.0,3.0,-1.0,-1.0,2000.0,-1.0,1.0,25.0,-1.0,19.1,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.5,1.0,1.0,-1.0,-1.0,-0.5,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
51.0,15.0,1.0,-1.0,1000.0,1.0,1.0,5.0,1.0,20.8,-0.5,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1
65.0,0.0,1.0,-1.0,800.0,-1.0,1.0,10.0,1.0,23.6,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
40.0,9.0,-1.0,-1.0,1500.0,-1.0,-1.0,3.0,1.0,18.2,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,-0.75,1.0,-1.0,1.0,-0.5,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1
54.0,4.0,-1.0,1.0,800.0,-1.0,-1.0,10.0,1.0,26.4,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.5,1.0,0.5,-1.0,1.0,-1.0,1
44.0,3.0,1.0,1.0,1800.0,-1.0,1.0,7.0,1.0,33.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.5,1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,1
