k_max,alfa,lamda,f,obj1_cdor,obj3_caer,obj5_time
3,0.6051205566447517,0.6303391154883179,0.5869388326294162,13.75,2.0,20.09419180000259
3,0.12250967970040025,0.7567586080244361,0.8154530480590819,12.5,1.5,38.65535849997832
3,0.30614326476769393,0.128890219513634,0.5869388326294162,11.75,0.75,38.924718800000846
3,0.30614326476769393,0.128890219513634,0.8154530480590819,11.75,1.75,36.611686300020665
3,0.6051205566447517,0.6303391154883179,0.5869388326294162,11.5,0.25,38.30302799999481
3,0.44193457057360364,0.42308144243616563,0.5869388326294162,11.5,0.75,38.05663609999465
3,0.44193457057360364,0.2885563276943389,0.5869388326294162,11.25,0.5,19.597907799994573
2,0.30614326476769393,0.128890219513634,1.0362280914547006,10.75,2.75,19.513279800004966
3,0.7090295386806201,0.42308144243616563,0.5458243836556622,10.5,0.0,36.20029400002386
3,0.44193457057360364,0.42308144243616563,0.5869388326294162,8.75,0.25,21.79164690001926
